strategy_id,strategy_code,strategy,description,transformation_specification,baseline_strategy_id
3007,ENTC:TARGET_RENEWABLE_ELEC_30,Singleton - Default Value - ENTC: at least 30% of electricity is generated by renewables in 2051,,TX:ENTC:TARGET_RENEWABLE_ELEC_30,0.0
3008,ENTC:TARGET_RENEWABLE_ELEC_40,Singleton - Default Value - ENTC: at least 40% of electricity is generated by renewables in 2051,,TX:ENTC:TARGET_RENEWABLE_ELEC_40,0.0
3009,ENTC:TARGET_RENEWABLE_ELEC_50,Singleton - Default Value - ENTC: at least 50% of electricity is generated by renewables in 2052,,TX:ENTC:TARGET_RENEWABLE_ELEC_50,0.0
3010,ENTC:TARGET_RENEWABLE_ELEC_60,Singleton - Default Value - ENTC: at least 60% of electricity is generated by renewables in 2052,,TX:ENTC:TARGET_RENEWABLE_ELEC_60,0.0
3011,ENTC:TARGET_RENEWABLE_ELEC_70,Singleton - Default Value - ENTC: at least 70% of electricity is generated by renewables in 2053,,TX:ENTC:TARGET_RENEWABLE_ELEC_70,0.0
3012,ENTC:TARGET_RENEWABLE_ELEC_80,Singleton - Default Value - ENTC: at least 80% of electricity is generated by renewables in 2053,,TX:ENTC:TARGET_RENEWABLE_ELEC_80,0.0
3013,ENTC:TARGET_RENEWABLE_ELEC_90,Singleton - Default Value - ENTC: at least 90% of electricity is generated by renewables in 2054,,TX:ENTC:TARGET_RENEWABLE_ELEC_90,0.0
3014,FGTV:DEC_LEAKS,Singleton - Default Value - FGTV: Minimize leaks,,TX:FGTV:DEC_LEAKS,0.0
3015,FGTV:INC_FLARE,Singleton - Default Value - FGTV: Maximize flaring,,TX:FGTV:INC_FLARE,0.0
3016,INEN:INC_EFFICIENCY_ENERGY,Singleton - Default Value - INEN: Maximize industrial energy efficiency,,TX:INEN:INC_EFFICIENCY_ENERGY,0.0
3017,INEN:INC_EFFICIENCY_PRODUCTION,Singleton - Default Value - INEN: Maximize industrial production efficiency,,TX:INEN:INC_EFFICIENCY_PRODUCTION,0.0
3018,INEN:SHIFT_FUEL_HEAT,Singleton - Default Value - INEN: Fuel switch high- and low-temp thermal processes. ,,TX:INEN:SHIFT_FUEL_HEAT,0.0
3019,SCOE:DEC_DEMAND_HEAT,Singleton - Default Value - SCOE: Reduce end-use demand for heat energy by improving building shell,,TX:SCOE:DEC_DEMAND_HEAT,0.0
3020,SCOE:INC_EFFICIENCY_APPLIANCE,Singleton - Default Value - SCOE: Increase appliance efficiency,,TX:SCOE:INC_EFFICIENCY_APPLIANCE,0.0
3021,SCOE:SHIFT_FUEL_HEAT,"Singleton - Default Value - SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",,TX:SCOE:SHIFT_FUEL_HEAT,0.0
3022,TRDE:DEC_DEMAND,Singleton - Default Value - TRDE: Reduce demand for transport,,TX:TRDE:DEC_DEMAND,0.0
3023,TRNS:INC_EFFICIENCY_ELECTRIC,Singleton - Default Value - TRNS: Increase electric transportation energy efficiency,,TX:TRNS:INC_EFFICIENCY_ELECTRIC,0.0
3024,TRNS:INC_EFFICIENCY_NON_ELECTRIC,Singleton - Default Value - TRNS: Increase non-electric transportation energy efficiency,,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,0.0
3025,TRNS:INC_OCCUPANCY_LIGHT_DUTY,Singleton - Default Value - TRNS: Increase occupancy for private vehicles,,TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY,0.0
3026,TRNS:SHIFT_FUEL_LIGHT_DUTY,Singleton - Default Value - TRNS: Electrify light duty road transport,,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,0.0
3027,TRNS:SHIFT_FUEL_MARITIME,Singleton - Default Value - TRNS: Fuel switch maritime,,TX:TRNS:SHIFT_FUEL_MARITIME,0.0
3028,TRNS:SHIFT_FUEL_MEDIUM_DUTY,Singleton - Default Value - TRNS: Fuel switch medium duty road transport,,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,0.0
3029,TRNS:SHIFT_FUEL_RAIL,Singleton - Default Value - TRNS: Electrify rail,,TX:TRNS:SHIFT_FUEL_RAIL,0.0
3030,TRNS:SHIFT_MODE_FREIGHT,Singleton - Default Value - TRNS: Mode shift freight,,TX:TRNS:SHIFT_MODE_FREIGHT,0.0
3031,TRNS:SHIFT_MODE_PASSENGER,Singleton - Default Value - TRNS: Mode shift passenger vehicles to others,,TX:TRNS:SHIFT_MODE_PASSENGER,0.0
3032,TRNS:SHIFT_MODE_REGIONAL,Singleton - Default Value - TRNS: Mode shift regional passenger travel,,TX:TRNS:SHIFT_MODE_REGIONAL,0.0
3033,EN:ALL,Sectoral Composite - Energy,All (unique by transformer) Energy transformations,TX:CCSQ:INC_CAPTURE|TX:ENTC:DEC_LOSSES|TX:ENTC:LEAST_COST_SOLUTION|TX:ENTC:TARGET_CLEAN_HYDROGEN|TX:ENTC:TARGET_RENEWABLE_ELEC|TX:FGTV:DEC_LEAKS|TX:FGTV:INC_FLARE|TX:INEN:INC_EFFICIENCY_ENERGY|TX:INEN:INC_EFFICIENCY_PRODUCTION|TX:INEN:SHIFT_FUEL_HEAT|TX:SCOE:DEC_DEMAND_HEAT|TX:SCOE:INC_EFFICIENCY_APPLIANCE|TX:SCOE:SHIFT_FUEL_HEAT|TX:TRDE:DEC_DEMAND|TX:TRNS:INC_EFFICIENCY_ELECTRIC|TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC|TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY|TX:TRNS:SHIFT_FUEL_LIGHT_DUTY|TX:TRNS:SHIFT_FUEL_MARITIME|TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY|TX:TRNS:SHIFT_FUEL_RAIL|TX:TRNS:SHIFT_MODE_FREIGHT|TX:TRNS:SHIFT_MODE_PASSENGER|TX:TRNS:SHIFT_MODE_REGIONAL,0.0
4000,IPPU:DEC_CLINKER,Singleton - Default Value - IPPU: Reduce cement clinker,,TX:IPPU:DEC_CLINKER,0.0
4001,IPPU:DEC_DEMAND,Singleton - Default Value - IPPU: Demand management,,TX:IPPU:DEC_DEMAND,0.0
4002,IPPU:DEC_HFCS,Singleton - Default Value - IPPU: Reduce use of HFCs,,TX:IPPU:DEC_HFCS,0.0
4003,IPPU:DEC_N2O,Singleton - Default Value - IPPU: Reduce Nitrous Oxide emissions,,TX:IPPU:DEC_N2O,0.0
4004,IPPU:DEC_OTHER_FCS,Singleton - Default Value - IPPU: Reduce other fluorinated compounds,,TX:IPPU:DEC_OTHER_FCS,0.0
4005,IPPU:DEC_PFCS,Singleton - Default Value - IPPU: Reduce use of PFCs,,TX:IPPU:DEC_PFCS,0.0
4006,IP:ALL,Sectoral Composite - IPPU,All (unique by transformer) IPPU transformations,TX:IPPU:DEC_CLINKER|TX:IPPU:DEC_DEMAND|TX:IPPU:DEC_HFCS|TX:IPPU:DEC_N2O|TX:IPPU:DEC_OTHER_FCS|TX:IPPU:DEC_PFCS,0.0
6000,PFLO:INC_HEALTHIER_DIETS,Singleton - Default Value - PFLO: Change diets,,TX:PFLO:INC_HEALTHIER_DIETS,0.0
6001,PFLO:INC_IND_CCS,Singleton - Default Value - PFLO: Industrial carbon capture and sequestration,,TX:PFLO:INC_IND_CCS,0.0
6002,PFLO:ALL,All Actions,All actions (unique by transformer),TX:AGRC:DEC_CH4_RICE|TX:AGRC:DEC_EXPORTS|TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN|TX:AGRC:INC_CONSERVATION_AGRICULTURE|TX:AGRC:INC_PRODUCTIVITY|TX:CCSQ:INC_CAPTURE|TX:ENTC:DEC_LOSSES|TX:ENTC:LEAST_COST_SOLUTION|TX:ENTC:TARGET_CLEAN_HYDROGEN|TX:ENTC:TARGET_RENEWABLE_ELEC|TX:FGTV:DEC_LEAKS|TX:FGTV:INC_FLARE|TX:INEN:INC_EFFICIENCY_ENERGY|TX:INEN:INC_EFFICIENCY_PRODUCTION|TX:INEN:SHIFT_FUEL_HEAT|TX:IPPU:DEC_CLINKER|TX:IPPU:DEC_DEMAND|TX:IPPU:DEC_HFCS|TX:IPPU:DEC_N2O|TX:IPPU:DEC_OTHER_FCS|TX:IPPU:DEC_PFCS|TX:LNDU:BOUND_CLASSES|TX:LNDU:DEC_DEFORESTATION|TX:LNDU:DEC_SOC_LOSS_PASTURES|TX:LNDU:INC_REFORESTATION|TX:LNDU:INC_SILVOPASTURE|TX:LNDU:PLUR|TX:LSMM:INC_CAPTURE_BIOGAS|TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS|TX:LSMM:INC_MANAGEMENT_OTHER|TX:LSMM:INC_MANAGEMENT_POULTRY|TX:LVST:DEC_ENTERIC_FERMENTATION|TX:LVST:DEC_EXPORTS|TX:LVST:INC_PRODUCTIVITY|TX:PFLO:INC_HEALTHIER_DIETS|TX:PFLO:INC_IND_CCS|TX:SCOE:DEC_DEMAND_HEAT|TX:SCOE:INC_EFFICIENCY_APPLIANCE|TX:SCOE:SHIFT_FUEL_HEAT|TX:SOIL:DEC_LIME_APPLIED|TX:SOIL:DEC_N_APPLIED|TX:TRDE:DEC_DEMAND|TX:TRNS:INC_EFFICIENCY_ELECTRIC|TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC|TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY|TX:TRNS:SHIFT_FUEL_LIGHT_DUTY|TX:TRNS:SHIFT_FUEL_MARITIME|TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY|TX:TRNS:SHIFT_FUEL_RAIL|TX:TRNS:SHIFT_MODE_FREIGHT|TX:TRNS:SHIFT_MODE_PASSENGER|TX:TRNS:SHIFT_MODE_REGIONAL|TX:TRWW:INC_CAPTURE_BIOGAS|TX:TRWW:INC_COMPLIANCE_SEPTIC|TX:WALI:INC_TREATMENT_INDUSTRIAL|TX:WALI:INC_TREATMENT_RURAL|TX:WALI:INC_TREATMENT_URBAN|TX:WASO:DEC_CONSUMER_FOOD_WASTE|TX:WASO:INC_ANAEROBIC_AND_COMPOST|TX:WASO:INC_CAPTURE_BIOGAS|TX:WASO:INC_ENERGY_FROM_BIOGAS|TX:WASO:INC_ENERGY_FROM_INCINERATION|TX:WASO:INC_LANDFILLING|TX:WASO:INC_RECYCLING,0.0
6003,PFLO:NDC_2020,NDC (2020  Start),NDC with start date of 2020; reflects original specification of in 2020 with rough magnitude estimates,TX:AGRC:DEC_CH4_RICE_NDC2020_EST|TX:AGRC:DEC_EXPORTS_NDC2020_EST|TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN_NDC2020_EST|TX:AGRC:INC_CONSERVATION_AGRICULTURE_NDC2020_EST|TX:AGRC:INC_PRODUCTIVITY_NDC2020_EST|TX:CCSQ:INC_CAPTURE_NDC2020_EST|TX:ENTC:DEC_LOSSES_NDC2020_EST|TX:ENTC:TARGET_CLEAN_HYDROGEN_NDC2020_EST|TX:ENTC:TARGET_RENEWABLE_ELEC_NDC2020_EST|TX:FGTV:DEC_LEAKS_NDC2020_EST|TX:FGTV:INC_FLARE_NDC2020_EST|TX:INEN:INC_EFFICIENCY_ENERGY_NDC2020_EST|TX:INEN:INC_EFFICIENCY_PRODUCTION_NDC2020_EST|TX:INEN:SHIFT_FUEL_HEAT_NDC2020_EST|TX:IPPU:DEC_CLINKER_NDC2020_EST|TX:IPPU:DEC_DEMAND_NDC2020_EST|TX:IPPU:DEC_HFCS_NDC2020_EST|TX:IPPU:DEC_N2O_NDC2020_EST|TX:IPPU:DEC_OTHER_FCS_NDC2020_EST|TX:IPPU:DEC_PFCS_NDC2020_EST|TX:LNDU:DEC_DEFORESTATION_NDC2020_EST|TX:LNDU:DEC_SOC_LOSS_PASTURES_NDC2020_EST|TX:LNDU:INC_REFORESTATION_NDC2020_EST|TX:LNDU:INC_SILVOPASTURE_NDC2020_EST|TX:LNDU:PLUR_NDC2020_EST|TX:LSMM:INC_CAPTURE_BIOGAS_NDC2020_EST|TX:LVST:DEC_ENTERIC_FERMENTATION_NDC2020_EST|TX:LVST:DEC_EXPORTS_NDC2020_EST|TX:LVST:INC_PRODUCTIVITY_NDC2020_EST|TX:SCOE:DEC_DEMAND_HEAT_NDC2020_EST|TX:SCOE:INC_EFFICIENCY_APPLIANCE_NDC2020_EST|TX:SCOE:SHIFT_FUEL_HEAT_NDC2020_EST|TX:SOIL:DEC_LIME_APPLIED_NDC2020_EST|TX:SOIL:DEC_N_APPLIED_NDC2020_EST|TX:TRDE:DEC_DEMAND_NDC2020_EST|TX:TRNS:INC_EFFICIENCY_ELECTRIC_NDC2020_EST|TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC_NDC2020_EST|TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY_NDC2020_EST|TX:TRNS:SHIFT_FUEL_LIGHT_DUTY_NDC2020_EST|TX:TRNS:SHIFT_FUEL_MARITIME_NDC2020_EST|TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY_NDC2020_EST|TX:TRNS:SHIFT_FUEL_RAIL_NDC2020_EST|TX:TRNS:SHIFT_MODE_FREIGHT_NDC2020_EST|TX:TRNS:SHIFT_MODE_PASSENGER_NDC2020_EST|TX:TRWW:INC_CAPTURE_BIOGAS_NDC2020_EST|TX:TRWW:INC_COMPLIANCE_SEPTIC_NDC2020_EST|TX:WALI:INC_TREATMENT_RURAL_NDC2020_EST|TX:WALI:INC_TREATMENT_URBAN_NDC2020_EST|TX:WASO:DEC_CONSUMER_FOOD_WASTE_NDC2020_EST|TX:WASO:INC_ANAEROBIC_AND_COMPOST_NDC2020_EST|TX:WASO:INC_CAPTURE_BIOGAS_NDC2020_EST|TX:WASO:INC_ENERGY_FROM_BIOGAS_NDC2020_EST|TX:WASO:INC_ENERGY_FROM_INCINERATION_NDC2020_EST|TX:WASO:INC_LANDFILLING_NDC2020_EST|TX:WASO:INC_RECYCLING_NDC2020_EST,0.0
6004,A6:AGRC:DEC_CH4_RICE_NDC2020_EST_P10,A6 PFLO:NDC_2020 with TX:AGRC:DEC_CH4_RICE_NDC2020_EST_P10,A6 PFLO:NDC_2020 with TX:AGRC:DEC_CH4_RICE_NDC2020_EST_P10 for A6,TX:AGRC:DEC_CH4_RICE_NDC2020_EST_P10|TX:AGRC:DEC_EXPORTS_NDC2020_EST|TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN_NDC2020_EST|TX:AGRC:INC_CONSERVATION_AGRICULTURE_NDC2020_EST|TX:AGRC:INC_PRODUCTIVITY_NDC2020_EST|TX:CCSQ:INC_CAPTURE_NDC2020_EST|TX:ENTC:DEC_LOSSES_NDC2020_EST|TX:ENTC:TARGET_CLEAN_HYDROGEN_NDC2020_EST|TX:ENTC:TARGET_RENEWABLE_ELEC_NDC2020_EST|TX:FGTV:DEC_LEAKS_NDC2020_EST|TX:FGTV:INC_FLARE_NDC2020_EST|TX:INEN:INC_EFFICIENCY_ENERGY_NDC2020_EST|TX:INEN:INC_EFFICIENCY_PRODUCTION_NDC2020_EST|TX:INEN:SHIFT_FUEL_HEAT_NDC2020_EST|TX:IPPU:DEC_CLINKER_NDC2020_EST|TX:IPPU:DEC_DEMAND_NDC2020_EST|TX:IPPU:DEC_HFCS_NDC2020_EST|TX:IPPU:DEC_N2O_NDC2020_EST|TX:IPPU:DEC_OTHER_FCS_NDC2020_EST|TX:IPPU:DEC_PFCS_NDC2020_EST|TX:LNDU:DEC_DEFORESTATION_NDC2020_EST|TX:LNDU:DEC_SOC_LOSS_PASTURES_NDC2020_EST|TX:LNDU:INC_REFORESTATION_NDC2020_EST|TX:LNDU:INC_SILVOPASTURE_NDC2020_EST|TX:LNDU:PLUR_NDC2020_EST|TX:LSMM:INC_CAPTURE_BIOGAS_NDC2020_EST|TX:LVST:DEC_ENTERIC_FERMENTATION_NDC2020_EST|TX:LVST:DEC_EXPORTS_NDC2020_EST|TX:LVST:INC_PRODUCTIVITY_NDC2020_EST|TX:SCOE:DEC_DEMAND_HEAT_NDC2020_EST|TX:SCOE:INC_EFFICIENCY_APPLIANCE_NDC2020_EST|TX:SCOE:SHIFT_FUEL_HEAT_NDC2020_EST|TX:SOIL:DEC_LIME_APPLIED_NDC2020_EST|TX:SOIL:DEC_N_APPLIED_NDC2020_EST|TX:TRDE:DEC_DEMAND_NDC2020_EST|TX:TRNS:INC_EFFICIENCY_ELECTRIC_NDC2020_EST|TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC_NDC2020_EST|TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY_NDC2020_EST|TX:TRNS:SHIFT_FUEL_LIGHT_DUTY_NDC2020_EST|TX:TRNS:SHIFT_FUEL_MARITIME_NDC2020_EST|TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY_NDC2020_EST|TX:TRNS:SHIFT_FUEL_RAIL_NDC2020_EST|TX:TRNS:SHIFT_MODE_FREIGHT_NDC2020_EST|TX:TRNS:SHIFT_MODE_PASSENGER_NDC2020_EST|TX:TRWW:INC_CAPTURE_BIOGAS_NDC2020_EST|TX:TRWW:INC_COMPLIANCE_SEPTIC_NDC2020_EST|TX:WALI:INC_TREATMENT_RURAL_NDC2020_EST|TX:WALI:INC_TREATMENT_URBAN_NDC2020_EST|TX:WASO:DEC_CONSUMER_FOOD_WASTE_NDC2020_EST|TX:WASO:INC_ANAEROBIC_AND_COMPOST_NDC2020_EST|TX:WASO:INC_CAPTURE_BIOGAS_NDC2020_EST|TX:WASO:INC_ENERGY_FROM_BIOGAS_NDC2020_EST|TX:WASO:INC_ENERGY_FROM_INCINERATION_NDC2020_EST|TX:WASO:INC_LANDFILLING_NDC2020_EST|TX:WASO:INC_RECYCLING_NDC2020_EST,0.0
